"year","AUS_Lstar","AUT_Lstar","BEL_Lstar","BGR_Lstar","BLR_Lstar","CAN_Lstar","CHE_Lstar","CHL_Lstar","CZE_Lstar","DEU_Lstar","DEUTW_Lstar","DNK_Lstar","ESP_Lstar","EST_Lstar","FIN_Lstar","FRA_Lstar","GBR_Lstar","GRC_Lstar","HKG_Lstar","HRV_Lstar","HUN_Lstar","IRL_Lstar","ISL_Lstar","ISR_Lstar","ITA_Lstar","JPN_Lstar","KOR_Lstar","LTU_Lstar","LUX_Lstar","LVA_Lstar","NLD_Lstar","NOR_Lstar","NZL_Lstar","POL_Lstar","PRT_Lstar","RUS_Lstar","SVK_Lstar","SVN_Lstar","TWN_Lstar","UKR_Lstar","USA_Lstar","AUS_c","AUT_c","BEL_c","BGR_c","BLR_c","CAN_c","CHE_c","CHL_c","CZE_c","DEU_c","DEUTW_c","DNK_c","ESP_c","EST_c","FIN_c","FRA_c","GBR_c","GRC_c","HKG_c","HRV_c","HUN_c","IRL_c","ISL_c","ISR_c","ITA_c","JPN_c","KOR_c","LTU_c","LUX_c","LVA_c","NLD_c","NOR_c","NZL_c","POL_c","PRT_c","RUS_c","SVK_c","SVN_c","TWN_c","UKR_c","USA_c","AUS_C","AUT_C","BEL_C","BGR_C","BLR_C","CAN_C","CHE_C","CHL_C","CZE_C","DEU_C","DEUTW_C","DNK_C","ESP_C","EST_C","FIN_C","FRA_C","GBR_C","GRC_C","HKG_C","HRV_C","HUN_C","IRL_C","ISL_C","ISR_C","ITA_C","JPN_C","KOR_C","LTU_C","LUX_C","LVA_C","NLD_C","NOR_C","NZL_C","POL_C","PRT_C","RUS_C","SVK_C","SVN_C","TWN_C","UKR_C","USA_C","AUS_LE_0","AUT_LE_0","BEL_LE_0","BGR_LE_0","BLR_LE_0","CAN_LE_0","CHE_LE_0","CHL_LE_0","CZE_LE_0","DEU_LE_0","DEUTW_LE_0","DNK_LE_0","ESP_LE_0","EST_LE_0","FIN_LE_0","FRA_LE_0","GBR_LE_0","GRC_LE_0","HKG_LE_0","HRV_LE_0","HUN_LE_0","IRL_LE_0","ISL_LE_0","ISR_LE_0","ITA_LE_0","JPN_LE_0","KOR_LE_0","LTU_LE_0","LUX_LE_0","LVA_LE_0","NLD_LE_0","NOR_LE_0","NZL_LE_0","POL_LE_0","PRT_LE_0","RUS_LE_0","SVK_LE_0","SVN_LE_0","TWN_LE_0","UKR_LE_0","USA_LE_0","AUS_LE_80","AUT_LE_80","BEL_LE_80","BGR_LE_80","BLR_LE_80","CAN_LE_80","CHE_LE_80","CHL_LE_80","CZE_LE_80","DEU_LE_80","DEUTW_LE_80","DNK_LE_80","ESP_LE_80","EST_LE_80","FIN_LE_80","FRA_LE_80","GBR_LE_80","GRC_LE_80","HKG_LE_80","HRV_LE_80","HUN_LE_80","IRL_LE_80","ISL_LE_80","ISR_LE_80","ITA_LE_80","JPN_LE_80","KOR_LE_80","LTU_LE_80","LUX_LE_80","LVA_LE_80","NLD_LE_80","NOR_LE_80","NZL_LE_80","POL_LE_80","PRT_LE_80","RUS_LE_80","SVK_LE_80","SVN_LE_80","TWN_LE_80","UKR_LE_80","USA_LE_80"
1923,102.288993586514,NA,99.570502600473,NA,NA,102.390481283125,98.6614591386872,NA,NA,NA,NA,99.8535470216955,102.805806866007,NA,99.0542504941812,98.9557847498327,100.204346778789,NA,NA,NA,NA,NA,101.583286770138,NA,98.6891897196048,NA,NA,NA,NA,NA,100.075789943617,101.709197109191,101.824345510407,NA,NA,NA,NA,NA,NA,NA,NA,0.079431520259083,NA,0.0836370908617662,NA,NA,0.0791768679127256,0.0817281066495627,NA,NA,NA,NA,0.0843777219189744,0.0679703011739469,NA,0.0856881279046751,0.0826176970406555,0.0823980440732696,NA,NA,NA,NA,NA,0.0856463975884667,NA,0.0852531471437113,NA,NA,NA,NA,NA,0.0846336599965626,0.0871302412404611,0.0817740510873578,NA,NA,NA,NA,NA,NA,NA,NA,78.2358567217065,NA,76.964244365564,NA,NA,78.5016897268561,75.3934651896944,NA,NA,NA,NA,77.2805338924654,75.5051297980927,NA,77.3491738688263,76.189071727503,77.1758531978614,NA,NA,NA,NA,NA,79.8057524536049,NA,76.8420822612755,NA,NA,NA,NA,NA,77.5804339852936,80.0885393843803,78.4681024287177,NA,NA,NA,NA,NA,NA,NA,NA,65.9878805180189,NA,60.6544480373451,NA,NA,62.304154747138,62.0528315075607,NA,NA,NA,NA,64.3449476112545,50.3625241806073,NA,56.6433783317999,58.8015391136912,62.0094793605275,NA,NA,NA,NA,NA,60.7789156469693,NA,54.3611794762378,NA,NA,NA,NA,NA,64.0423804276458,64.0747235481241,66.6085929636976,NA,NA,NA,NA,NA,NA,NA,NA,6.77772808719991,NA,5.91890387325285,NA,NA,6.86445564722834,5.55808276741279,NA,NA,NA,NA,5.98594160734842,6.96487342575545,NA,5.83595209462118,5.71927717968178,6.10875213746407,NA,NA,NA,NA,NA,6.74108588682956,NA,5.71542752073079,NA,NA,NA,NA,NA,6.07418712132739,6.77581377766619,6.64834987246772,NA,NA,NA,NA,NA,NA,NA,NA
1928,101.995760080332,NA,99.6436164839464,NA,NA,101.938486760532,98.9879169963025,NA,NA,NA,NA,99.7480281047494,103.15247954216,NA,99.3703015696159,99.1962630441163,100.296278333909,NA,NA,NA,NA,NA,102.425445560274,NA,98.8773711748401,NA,NA,NA,NA,NA,100.10355289029,101.837534959511,101.665527628431,NA,NA,NA,NA,NA,NA,NA,NA,0.0815879934550467,NA,0.0843661041022018,NA,NA,0.080776978914317,0.0836470256520544,NA,NA,NA,NA,0.0844135647466879,0.0701754483870276,NA,0.0851653635749438,0.0833822771894512,0.0839575310376238,NA,NA,NA,NA,NA,0.083753744808234,NA,0.086749963880367,NA,NA,NA,NA,NA,0.0858435548771184,0.0866018105314938,0.0832405682228234,NA,NA,NA,NA,NA,NA,NA,NA,78.5643641766652,NA,77.2040679573022,NA,NA,78.495099269016,76.2172153585007,NA,NA,NA,NA,77.114855288058,76.5229258156219,NA,77.4743860407074,76.5873939099652,77.6764064024644,NA,NA,NA,NA,NA,79.9645234993074,NA,77.2778054831109,NA,NA,NA,NA,NA,77.8740754221707,79.9485540746851,78.6785910539493,NA,NA,NA,NA,NA,NA,NA,NA,66.7487043915224,NA,61.7215751215792,NA,NA,62.9928853313633,63.5860372414044,NA,NA,NA,NA,65.1942620583916,53.5751635491587,NA,57.9981408137997,60.1127674582749,63.1104440505582,NA,NA,NA,NA,NA,63.3623278605807,NA,56.9311982964107,NA,NA,NA,NA,NA,65.5257488523363,65.9065270025016,67.6172182653875,NA,NA,NA,NA,NA,NA,NA,NA,6.70684825861143,NA,5.94422917430979,NA,NA,6.71894778325823,5.67502588937813,NA,NA,NA,NA,5.93464744806818,7.07064252998936,NA,5.92460397513796,5.79566304510096,6.15708161908413,NA,NA,NA,NA,NA,6.98955054014319,NA,5.76373936211882,NA,NA,NA,NA,NA,6.08837891322581,6.78681024452477,6.60770846544946,NA,NA,NA,NA,NA,NA,NA,NA
1933,101.972290776327,NA,99.9323881638875,NA,NA,102.196938247532,99.2434596287712,NA,NA,NA,NA,99.9924333299102,103.121052492131,NA,99.7955864936824,99.4764578398548,100.444524815349,NA,NA,NA,NA,NA,103.823177192827,NA,99.5158600915996,NA,NA,NA,NA,NA,100.366101982492,101.850283400482,101.938721052292,NA,NA,NA,NA,NA,NA,NA,102.486399462193,0.0836397643509026,NA,0.0853180787772565,NA,NA,0.0819057893159554,0.085700233333517,NA,NA,NA,NA,0.0845268060842758,0.0727038373612777,NA,0.0851694364145581,0.084188335780795,0.0854956089181477,NA,NA,NA,NA,NA,0.0827104987079148,NA,0.0873314759412142,NA,NA,NA,NA,NA,0.087317227010923,0.0874572832781991,0.0844861385004597,NA,NA,NA,NA,NA,NA,NA,0.073517935974712,79.0831251969328,NA,77.6580524255636,NA,NA,78.9541342868298,76.9729144409914,NA,NA,NA,NA,77.3436818675836,77.3009897699659,NA,77.7552783952712,76.9746202278052,78.1915283371981,NA,NA,NA,NA,NA,80.9881420024411,NA,77.9355248951271,NA,NA,NA,NA,NA,78.4346708984143,80.0670676323219,79.2414862663164,NA,NA,NA,NA,NA,NA,NA,76.4607526678532,67.9868112370937,NA,63.6854985344867,NA,NA,65.3622738888978,65.1822566399951,NA,NA,NA,NA,66.2080499719867,56.2535784943762,NA,60.2960982906944,62.1483607140744,64.6166934959225,NA,NA,NA,NA,NA,65.2741104494545,NA,59.6585150386494,NA,NA,NA,NA,NA,67.6204328022544,67.7070244005006,69.0638957609718,NA,NA,NA,NA,NA,NA,NA,64.3743780261446,6.73239701987433,NA,6.039669616941,NA,NA,6.8124339591149,5.77496825907374,NA,NA,NA,NA,6.01297455507943,7.07094348932997,NA,6.04350297738706,5.87729193214014,6.2234703182545,NA,NA,NA,NA,NA,7.50656127895331,NA,5.96813189834824,NA,NA,NA,NA,NA,6.19054439691273,6.78849549183024,6.72750700022048,NA,NA,NA,NA,NA,NA,NA,6.73517276431427
1938,101.831946136369,NA,99.757423565128,NA,NA,102.148701442784,99.6639985667488,NA,NA,NA,NA,100.105485702276,102.470367984072,NA,99.6487594634687,99.5082407851863,100.572487064234,NA,NA,NA,NA,NA,103.305208435873,NA,99.2354430040108,NA,NA,NA,NA,NA,100.231712772446,101.933301113864,101.965240701689,NA,102.794842599639,NA,NA,NA,NA,NA,102.272690839803,0.08534276416966,NA,0.0870630563257144,NA,NA,0.0835592943046362,0.0880492240775418,NA,NA,NA,NA,0.0864668761333887,0.0760145201853945,NA,0.0860248841086989,0.0854349698210001,0.0871335800220541,NA,NA,NA,NA,NA,0.0857552837106909,NA,0.0893873925066128,NA,NA,NA,NA,NA,0.0896590295618125,0.089432334704955,0.0855050257065722,NA,0.0790922712834494,NA,NA,NA,NA,NA,0.0761870755919782,79.3696341174045,NA,77.9015506323867,NA,NA,79.3082405767532,77.9443121278653,NA,NA,NA,NA,77.9102306607395,77.7716236712531,NA,77.755916434862,77.2678757233296,78.6822596397463,NA,NA,NA,NA,NA,81.1303424303968,NA,78.0737684420086,NA,NA,NA,NA,NA,78.8376921666219,80.5631751769848,79.5200601566064,NA,79.0605812855014,NA,NA,NA,NA,NA,77.1126262806014,68.9529121446745,NA,64.6954617513418,NA,NA,66.8565746001922,66.976869880339,NA,NA,NA,NA,67.8855960318363,57.6664267956292,NA,61.4954998963081,63.6181197349755,66.374659929518,NA,NA,NA,NA,NA,68.2019539534123,NA,61.4634531682992,NA,NA,NA,NA,NA,68.8560491242946,69.3732939550032,69.7503531133983,NA,58.2262010206487,NA,NA,NA,NA,NA,65.9846394074452,6.70723842134845,NA,5.99296720371059,NA,NA,6.81546891230651,5.94661012482364,NA,NA,NA,NA,6.06976529737133,6.88619613722914,NA,5.98558431286773,5.88812056298114,6.2840407179477,NA,NA,NA,NA,NA,7.34411171773764,NA,5.87313700747167,NA,NA,NA,NA,NA,6.17132432414845,6.85390016361001,6.75592461890811,NA,7.07361704794538,NA,NA,NA,NA,NA,6.69378546940153
1943,101.578653117858,NA,99.871459717682,NA,NA,102.27881154808,100.162438823905,NA,NA,NA,NA,100.774807859978,102.649347883909,NA,99.8786236035309,99.5760046068745,101.335218657136,NA,NA,NA,NA,NA,103.0772714534,NA,99.0767557840699,NA,NA,NA,NA,NA,99.510332036186,102.433611315644,101.720622620598,NA,102.794954130222,NA,NA,NA,NA,NA,102.913583056157,0.087430975220257,NA,0.0889259173629886,NA,NA,0.085658398829347,0.0903945154628451,NA,NA,NA,NA,0.0877068151452261,0.0795125647020672,NA,0.0878744184226986,0.0870503141002185,0.0885115109464318,NA,NA,NA,NA,NA,0.0852259114233241,NA,0.0913643834937899,NA,NA,NA,NA,NA,0.0926854959613026,0.0922224334212639,0.0873870445210309,NA,0.081006688064312,NA,NA,NA,NA,NA,0.0791221218087017,79.615000539336,NA,78.5044023009717,NA,NA,79.93151594524,78.9738106713227,NA,NA,NA,NA,78.8806505883731,78.9178320995105,NA,78.4029616855814,77.9065528315507,79.7358125062285,NA,NA,NA,NA,NA,80.70190413659,NA,78.4039332536955,NA,NA,NA,NA,NA,78.9430333876987,81.7516346870977,79.72883758271,NA,79.6223133822204,NA,NA,NA,NA,NA,78.6261564885657,70.0463248136309,NA,65.1728078152228,NA,NA,68.8199381801603,68.7019425522768,NA,NA,NA,NA,69.2218096119703,61.0130702020903,NA,62.9898954582199,62.4199839202,68.5440789986472,NA,NA,NA,NA,NA,68.6718032571924,NA,61.9844897624756,NA,NA,NA,NA,NA,67.0695566388938,69.8177751497365,70.6014546956733,NA,58.9521804932755,NA,NA,NA,NA,NA,68.7012042312723,6.6442415325018,NA,6.06717399461464,NA,NA,6.89872326200858,6.16301117298832,NA,NA,NA,NA,6.33824589506715,6.98892784333416,NA,6.08403652077933,5.96376406584724,6.59214946364672,NA,NA,NA,NA,NA,7.22375017901451,NA,5.84415185137742,NA,NA,NA,NA,NA,5.97436357767249,7.14502520490322,6.69469429444412,NA,7.11393412959856,NA,NA,NA,NA,NA,6.97580877754492
1948,101.868996288988,100.72745552754,100.720570199684,104.345633502271,NA,102.658415062429,100.61317693728,NA,100.366101787113,NA,NA,101.222794485663,103.274933043075,NA,100.150931605162,101.227385109237,101.637393113613,NA,NA,NA,100.844359914426,102.10193520201,103.975261519437,NA,100.717351879475,100.024772603354,NA,NA,NA,NA,101.539882833634,102.529546372964,102.398854284552,NA,102.752969563164,NA,101.045495003247,NA,NA,NA,103.371107501245,0.0899426927760208,0.0904208969057664,0.0908536244234774,0.0820109014812963,NA,0.0882440833489659,0.0927606234886792,NA,0.0906125664779653,NA,NA,0.090731171826447,0.0830993009867052,NA,0.0899881276381063,0.0887548655772785,0.0903238445206812,NA,NA,NA,0.0881004002271416,0.0810736753935312,0.0875256255500779,NA,0.0924978513484418,0.0806566908396574,NA,NA,NA,NA,0.0945035298759563,0.0951702787965062,0.0896382953129838,NA,0.0842619395862975,NA,0.0872242686803957,NA,NA,NA,0.0827433045044902,80.4771752713335,79.5443901616735,79.6142341533679,81.2844362062038,NA,80.9007420320798,79.9083246081155,NA,79.168462723427,NA,NA,80.0081237648788,80.4246365287357,NA,78.9238078263381,79.6268254807231,80.3685285544292,NA,NA,NA,79.1296069638251,78.4243298889895,82.0334868053372,NA,80.1029682337539,76.5908858309774,NA,NA,NA,NA,81.1935007032836,82.3460948153567,80.92203403607,NA,80.311754923083,NA,79.0997407065996,NA,NA,NA,80.1071510150768,71.8866008231256,68.8978859435083,69.5578567037526,64.3858114979074,NA,71.1849437799659,70.7793723024174,NA,69.7577910331481,NA,NA,71.5454572989873,65.2376581543862,NA,67.6069177846209,69.2664279296439,71.2048991043204,NA,NA,NA,67.7377064793723,68.4212961410857,72.7332033733214,NA,67.0255394919853,60.7265317405625,NA,NA,NA,NA,72.4131392346582,73.2611441800128,72.5937595857969,NA,62.4116671626452,NA,67.7435769734112,NA,NA,NA,71.1790785092212,6.80901855037474,6.38491961967858,6.38447138459195,7.71125973714731,NA,7.10330757287998,6.37138021000018,NA,6.23358481274786,NA,NA,6.56339568821606,7.28222231800747,NA,6.1643219387196,6.54331819062449,6.73041439940795,NA,NA,NA,6.39251649443411,6.71373730193512,7.63827213336299,NA,6.44967925414245,6.03925722639619,NA,NA,NA,NA,6.78822216196859,7.23949223520228,7.01764342009905,NA,7.13460698639281,NA,6.4514888916264,NA,NA,NA,7.23513575917021
1953,102.126864433662,100.741096282064,101.07795411082,104.355920831131,NA,103.073474000375,101.081211068932,NA,100.236334515446,NA,NA,101.375270046275,103.269530211203,NA,100.109723406232,101.551699877065,101.810110602369,NA,NA,NA,100.056265916785,102.033854202628,103.869704906133,NA,101.188544120567,100.831322885776,NA,NA,NA,NA,101.871940518084,102.725124048236,102.486364297395,NA,102.287314646449,NA,100.518341559089,NA,NA,NA,103.754514502234,0.0924407370095836,0.0933863235604155,0.0942567853342831,0.0844987803325393,NA,0.0914285215152115,0.0960467641027284,NA,0.0941407943417893,NA,NA,0.0951470806410601,0.0872910871986843,NA,0.0932704315503337,0.09089938392201,0.0930251627367744,NA,NA,NA,0.0914958400776028,0.0846864051563938,0.0930110793905531,NA,0.0949127895263802,0.083895561058093,NA,NA,NA,NA,0.0977600931726876,0.0989155870673307,0.0934313207860726,NA,0.0890580869291068,NA,0.0916473032106083,NA,NA,NA,0.0862171523465007,81.2927372468556,80.1507038939317,80.6554038742183,81.7526498599764,NA,82.0266896477711,81.0351238464215,NA,79.7935989595709,NA,NA,81.1162369011529,81.341406368824,NA,79.4877730686664,80.3776737390609,81.09825029723,NA,NA,NA,79.0703646419916,79.3102190988915,83.1558867082562,NA,80.9690937665079,78.0235742833156,NA,NA,NA,NA,82.1671629137811,83.253096399442,81.8640143160937,NA,80.8890263172505,NA,79.5626579158484,NA,NA,NA,81.4086621065723,73.2658903846886,71.2510666038299,72.3552640463828,68.5821421606281,NA,73.4522145360333,73.065095306499,NA,71.4328825706987,NA,NA,73.6133301796592,69.6224805613837,NA,70.9509426736978,71.7270743157514,73.2992815970333,NA,NA,NA,69.3176374743842,70.3929050617952,75.330844563216,NA,70.7688585647585,66.2540909259336,NA,NA,NA,NA,74.4261131133053,75.5493649493497,74.1071523176917,NA,66.1227277727164,NA,69.838790788077,NA,NA,NA,73.1044206475554,6.97537061594635,6.43222925859764,6.58345106637966,7.74552225272765,NA,7.36018692188198,6.62447789953256,NA,6.23990141749046,NA,NA,6.72146956583397,7.35402006239486,NA,6.17518776856488,6.70214007016462,6.85424131346509,NA,NA,NA,6.13316447857298,6.7527945255681,7.76167322491185,NA,6.66392464071055,6.3136097036473,NA,NA,NA,NA,7.00858794415086,7.43057912009864,7.15520000421556,NA,7.02486184517795,NA,6.31540143350717,NA,NA,NA,7.4894197122925
1958,102.600942848148,101.156485118091,101.42312267397,104.338365145121,107.743525443549,103.409436758925,101.464679693705,NA,100.689364338633,NA,100.97114699751,101.632345858927,103.056809673223,102.034206848588,100.444797349062,102.135296922389,102.18798554013,NA,NA,NA,100.555663012026,102.359670773243,104.207042217298,NA,101.589181613423,101.102879575187,NA,106.07635682916,100.837760699303,102.016612473728,102.146422359869,102.594940416329,102.68418262301,102.320122988661,101.726867933301,106.846826006257,100.918161759036,NA,NA,106.621282038849,103.800953778456,0.0939943324653421,0.0955034336402138,0.0968087729907859,0.0874906807975173,0.0858087107947431,0.09394737216011,0.0991120748631772,NA,0.097318528151935,NA,0.0965059267831876,0.0974229970958534,0.0912173005451734,0.0959556115118434,0.0957478494566989,0.0933277358432146,0.0950158466263787,NA,NA,NA,0.0939952975204537,0.0887424795105784,0.0924732011351147,NA,0.0970596884415653,0.0880906180886547,NA,0.08553034510045,0.0984521435740771,0.0956627093919245,0.100478104161325,0.101929134483761,0.0958682177985037,0.0909109825133385,0.0931271919431606,0.0832325005263758,0.0957193091882853,NA,NA,0.0845919641862762,0.0885099011230753,82.0985318790092,81.0000629581601,81.5240840885348,82.3808129460824,85.3350467280967,82.9068308156825,82.0232687478249,NA,80.8897419111246,NA,81.0113376961376,81.8381007753065,81.9888931759255,81.9857070365982,80.3270278829808,81.4903436452859,81.8929980119672,NA,NA,NA,80.085173459974,80.6391205992504,83.3499562648933,NA,81.7799489615411,79.2926959086115,NA,83.5856009899522,81.2522541855799,81.9049566635871,82.963153389226,83.6845359083119,82.5766104369931,81.1523569735724,81.1856551657123,83.7592696883071,80.8097158649244,NA,NA,83.8739725864607,82.0255696878035,74.4569876243876,72.8013140610648,73.8032018649082,72.0798155938429,75.8995969234279,74.9662899256481,74.6101760884639,NA,73.3556843043131,NA,73.2451631088115,74.7159709824577,72.4730479860822,73.7731311241244,72.5859692294797,73.5665962697779,74.6024084811273,NA,NA,NA,71.4031057359227,72.6437749787813,76.0210809486788,NA,72.8022305150201,69.6848650652432,NA,74.4129905228054,73.9801805218263,73.6980443946726,75.721694020447,76.4933525735945,75.1761524396622,72.2549558078056,68.3653070410003,73.8761080710587,72.4262586670506,NA,NA,74.801409616438,74.0767702428853,7.22082446258076,6.64501946551798,6.78653637322651,7.80545677298388,9.31124224014179,7.58442795591286,6.8626489264136,NA,6.4853239619501,NA,6.58690592060618,6.88772452068659,7.35591197792083,7.0347903982206,6.35128883731182,7.00169096752111,7.06563035571199,NA,NA,NA,6.36752493337663,6.97316990608196,7.89292598919282,NA,6.87713096675639,6.47115189506464,NA,8.50304558539177,6.57182102479064,7.01878189617521,7.20733502613208,7.46250939425738,7.31246023621844,7.02392716594302,6.8720042771827,8.76640685193028,6.55183418235178,NA,NA,8.71371925179965,7.57914456535033
